Type;Base Entity                         ;Rel ;Type;Target Entity
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-09 Reusability
REQU;NF-REQ-09 Reusability               ;USES;DATA;system_source_code
REQU;NF-REQ-09 Reusability               ;USES;DATA;rate
REQU;NF-REQ-09 Reusability               ;USES;DATA;code
REQU;NF-REQ-09 Reusability               ;EXEC;TEST;ORDERS0038
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-10  reliability
REQU;NF-REQ-10  reliability              ;USES;DATA;system
REQU;NF-REQ-10  reliability              ;USES;DATA;release
REQU;NF-REQ-10  reliability              ;USES;DATA;error_probability
REQU;NF-REQ-10  reliability              ;EXEC;TEST;ORDERS0039
DOCU;OrderEntry                          ;OWNS;SECT;Functional  characteristics
DOCU;OrderEntry                          ;OWNS;SECT;Business-Objects
SECT;Business-Objects                    ;USES;DATA;system
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;customer
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;article
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;price
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;supplier
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;customer_order
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;order_item
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;dispatch_item
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;supply_order_item
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;supply_order
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;EXEC;TEST;ORDERS0040
SECT;Business-Objects                    ;USES;DATA;invoice
SECT;Business-Objects                    ;USES;DATA;back_order_item
SECT;Business-Objects                    ;USES;DATA;dispatch_order
DOCU;OrderEntry                          ;OWNS;SECT;Business-Rules
SECT;Business-Rules                      ;USES;DATA;order_entry_system
SECT;Business-Rules                      ;USES;DATA;customers
SECT;Business-Rules                      ;USES;DATA;order_articles
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0041
SECT;Business-Rules                      ;USES;DATA;customers
SECT;Business-Rules                      ;USES;DATA;credibility
SECT;Business-Rules                      ;USES;DATA;order_articles
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0042
SECT;Business-Rules                      ;USES;DATA;articles
SECT;Business-Rules                      ;USES;DATA;stock
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0043
SECT;Business-Rules                      ;USES;DATA;order_item
SECT;Business-Rules                      ;USES;DATA;amount
SECT;Business-Rules                      ;USES;DATA;articles
SECT;Business-Rules                      ;USES;DATA;stock
SECT;Business-Rules                      ;USES;DATA;minimum_amount
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0044
SECT;Business-Rules                      ;USES;DATA;amount
SECT;Business-Rules                      ;USES;DATA;article
SECT;Business-Rules                      ;USES;DATA;back_order_item
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0045
SECT;Business-Rules                      ;USES;DATA;amount
SECT;Business-Rules                      ;USES;DATA;article
SECT;Business-Rules                      ;USES;DATA;stock
SECT;Business-Rules                      ;USES;DATA;minimum_amount
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0046
SECT;Business-Rules                      ;USES;DATA;order
SECT;Business-Rules                      ;USES;DATA;order_item
SECT;Business-Rules                      ;USES;DATA;dispatch
SECT;Business-Rules                      ;USES;DATA;order
SECT;Business-Rules                      ;USES;DATA;dispatch_office
SECT;Business-Rules                      ;USES;DATA;articles
SECT;Business-Rules                      ;USES;DATA;customer
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0047
SECT;Business-Rules                      ;USES;DATA;supply_order_item
SECT;Business-Rules                      ;USES;DATA;supplier
SECT;Business-Rules                      ;USES;DATA;offers
SECT;Business-Rules                      ;USES;DATA;price
SECT;Business-Rules                      ;USES;DATA;moment
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0048
SECT;Business-Rules                      ;USES;DATA;invoices
SECT;Business-Rules                      ;USES;DATA;tags
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0049
SECT;Business-Rules                      ;USES;DATA;total_amount_due
SECT;Business-Rules                      ;USES;DATA;invoice
SECT;Business-Rules                      ;USES;DATA;sum
SECT;Business-Rules                      ;USES;DATA;items_times
SECT;Business-Rules                      ;USES;DATA;value
SECT;Business-Rules                      ;USES;DATA;tax
SECT;Business-Rules                      ;EXEC;TEST;ORDERS0050
DOCU;OrderEntry                          ;OWNS;SECT;System-Actors
SECT;System-Actors                       ;USES;DATA;system
SECT;System-Actors                       ;USES;DATA;subjects
SECT;System-Actors                       ;USES;DATA;system
SECT;System-Actors                       ;USES;DATA;system
SECT;System-Actors                       ;USES;DATA;customer
SECT;System-Actors                       ;USES;DATA;accountant
SECT;System-Actors                       ;USES;DATA;dispatcher
SECT;System-Actors                       ;USES;DATA;stock_clerk
SECT;System-Actors                       ;USES;DATA;supplier
SECT;System-Actors                       ;USES;DATA;system
SECT;System-Actors                       ;EXEC;TEST;ORDERS0051
SECT;System-Actors                       ;USES;DATA;customers
SECT;System-Actors                       ;USES;DATA;query_articles
SECT;System-Actors                       ;USES;DATA;stock
SECT;System-Actors                       ;USES;DATA;orders
SECT;System-Actors                       ;USES;DATA;time
SECT;System-Actors                       ;EXEC;TEST;ORDERS0052
SECT;System-Actors                       ;USES;DATA;dispatcher
SECT;System-Actors                       ;USES;DATA;dispatch_orders
SECT;System-Actors                       ;USES;DATA;articles
SECT;System-Actors                       ;USES;DATA;customer
SECT;System-Actors                       ;EXEC;TEST;ORDERS0053
SECT;System-Actors                       ;USES;DATA;accountant
SECT;System-Actors                       ;USES;DATA;invoices
SECT;System-Actors                       ;USES;DATA;customers
SECT;System-Actors                       ;EXEC;TEST;ORDERS0054
SECT;System-Actors                       ;USES;DATA;stock_clerk
SECT;System-Actors                       ;USES;DATA;supply_orders
SECT;System-Actors                       ;USES;DATA;suppliers
SECT;System-Actors                       ;EXEC;TEST;ORDERS0055
SECT;System-Actors                       ;USES;DATA;order
SECT;System-Actors                       ;USES;DATA;administrator
SECT;System-Actors                       ;USES;DATA;back_orders
SECT;System-Actors                       ;EXEC;TEST;ORDERS0056
SECT;System-Actors                       ;USES;DATA;supplier
